Iterations: 1000,,,,,,
Prisoner Low Bound: 1,,,,,,
Prisoner High Bound: 75,,,,,,
Prisoners,Prisoners^2,Mean Guesses,Difference,Difference/Mean,Standard Deviation,Deviation/Mean
1,1,1,0,0,0,0
2,4,4.07,0.07,0.017199017,1.991247113,0.489249905
3,9,10.802,1.802,0.166820959,4.664391981,0.431808182
4,16,19.557,3.557,0.181878611,6.967158122,0.356248817
5,25,30.69,5.69,0.185402411,10.62359453,0.34615818
6,36,43.259,7.259,0.167803232,14.01107523,0.323888098
7,49,58.98,9.98,0.169209902,17.35323413,0.294222349
8,64,76.335,12.335,0.161590358,21.48474737,0.281453427
9,81,96.008,15.008,0.156320307,26.17229308,0.272605336
10,100,118.656,18.656,0.157227616,30.63315286,0.258167753
11,121,140.437,19.437,0.138403697,35.46321574,0.252520459
12,144,166.519,22.519,0.135233817,39.35208032,0.236321863
13,169,196.248,27.248,0.138844727,45.44145048,0.231551152
14,196,225.293,29.293,0.130021794,51.58942352,0.228988133
15,225,256.976,31.976,0.124431854,56.66418846,0.220503815
16,256,293.258,37.258,0.127048537,63.20631673,0.215531432
17,289,330.056,41.056,0.124391012,70.09717882,0.212379653
18,324,364.695,40.695,0.111586394,77.86094208,0.21349605
19,361,408.958,47.958,0.117268766,80.96231922,0.19797221
20,400,449.116,49.116,0.109361501,89.52500919,0.199336049
21,441,490.182,49.182,0.100334162,100.5906325,0.205210784
22,484,540.572,56.572,0.104652109,99.33284366,0.183755066
23,529,597.298,68.298,0.114344933,108.6874517,0.181965203
24,576,640.537,64.537,0.100754523,113.9573293,0.17790905
25,625,694.627,69.627,0.10023653,119.5107472,0.172050247
26,676,754.787,78.787,0.104383091,131.0522504,0.173628123
27,729,803.57,74.57,0.092798387,138.9878006,0.172962904
28,784,878.42,94.42,0.107488445,148.9079756,0.16951797
29,841,923.401,82.401,0.089236421,152.448978,0.165095097
30,900,989.418,89.418,0.090374341,165.3143373,0.167082403
31,961,1064.671,103.671,0.097373743,174.1519729,0.16357351
32,1024,1121.702,97.702,0.087101565,171.4658792,0.152862239
33,1089,1189.233,100.233,0.084283736,191.2625109,0.160828459
34,1156,1274.799,118.799,0.093190377,200.2878474,0.157113276
35,1225,1330.469,105.469,0.079272046,203.1568255,0.152695648
36,1296,1411.434,115.434,0.081784908,210.6965844,0.149278382
37,1369,1491.4,122.4,0.082070538,230.5614247,0.154593955
38,1444,1557.42,113.42,0.07282557,226.8587148,0.145663158
39,1521,1640.163,119.163,0.072653145,247.8097054,0.151088462
40,1600,1734.305,134.305,0.077440243,248.2255585,0.143126819
41,1681,1823.377,142.377,0.078084236,259.2425497,0.142177152
42,1764,1911.125,147.125,0.076983452,275.246755,0.144023418
43,1849,1983.562,134.562,0.067838565,272.179525,0.137217554
44,1936,2079.344,143.344,0.068937126,299.6215458,0.144094265
45,2025,2168.962,143.962,0.066373685,283.7569251,0.130826139
46,2116,2284.645,168.645,0.07381672,307.5746822,0.134626904
47,2209,2359.857,150.857,0.063926331,321.4696927,0.136224226
48,2304,2451.685,147.685,0.060238163,338.6699619,0.138137633
49,2401,2570.997,169.997,0.066121042,344.0733635,0.133828769
50,2500,2664.288,164.288,0.061663003,340.6469013,0.127856636
51,2601,2776.575,175.575,0.06323438,347.7607711,0.12524811
52,2704,2894.87,190.87,0.065933876,385.0155036,0.132999238
53,2809,2996.288,187.288,0.062506675,394.3828278,0.131623805
54,2916,3099.21,183.21,0.059115065,405.1090115,0.130713637
55,3025,3227.118,202.118,0.062631115,420.1365978,0.130189413
56,3136,3337.873,201.873,0.060479533,427.475061,0.128068102
57,3249,3459.306,210.306,0.060794275,424.7650335,0.122789089
58,3364,3576.305,212.305,0.059364344,434.0045921,0.121355587
59,3481,3700.669,219.669,0.059359267,453.4919121,0.122543225
60,3600,3803.13,203.13,0.053411269,458.9143313,0.120667537
61,3721,3948.77,227.77,0.057681253,471.6124228,0.119432741
62,3844,4091.068,247.068,0.060392054,471.4503185,0.115238935
63,3969,4208.01,239.01,0.056798819,515.0362553,0.122394256
64,4096,4345.181,249.181,0.057346518,525.8760785,0.121025126
65,4225,4460.001,235.001,0.052690795,511.5557998,0.114698584
66,4356,4610.663,254.663,0.055233488,538.345314,0.116760933
67,4489,4702.535,213.535,0.045408487,532.6446556,0.113267558
68,4624,4860.029,236.029,0.048565348,553.7664756,0.113943039
69,4761,5050.389,289.389,0.057300339,571.9474658,0.1132482
70,4900,5188.045,288.045,0.055520914,552.6845965,0.106530417
71,5041,5326.64,285.64,0.053624799,606.5496805,0.113870973
72,5184,5480.113,296.113,0.054034105,616.5144413,0.112500315
73,5329,5646.062,317.062,0.056156309,646.381238,0.114483553
74,5476,5784.374,308.374,0.05331156,611.8752761,0.105780725
