Iterations: 10,,,
Prisoner Low Bound: 1,,,
Prisoner High Bound: 75,,,
Prisoners,Average Guesses,Standard Deviation,Dev/Mean
1,1,0,0
2,3.3,1.636391694,0.495876271
3,8,2.054804668,0.256850583
4,18.5,6.835365551,0.369479219
5,25.1,6.100091074,0.243031517
6,42,13.06394529,0.311046317
7,49.7,12.71088772,0.255752268
8,76.6,27.85358545,0.363623831
9,102.8,29.26051568,0.284635367
10,130.9,37.63405668,0.287502343
11,136.1,29.40313664,0.216040681
12,171.3,33.4964343,0.195542524
13,182.1,51.72029475,0.284021388
14,208.1,41.94824854,0.20157736
15,249.7,49.67013411,0.19891924
16,273.2,77.30861674,0.282974439
17,340.1,106.9739844,0.314536855
18,374,127.3237344,0.340437792
19,401,64.13527371,0.159938338
20,519.6,67.8006883,0.130486313
21,545.4,129.8761803,0.238130144
22,514.7,88.19933232,0.171360661
23,657.6,121.2409905,0.184368903
24,638.8,92.49720717,0.144798383
25,742.6,123.2415875,0.165959585
26,715.4,129.342955,0.180798092
27,831.3,104.4350409,0.125628583
28,869.3,83.74305941,0.0963339
29,922,111.6592037,0.121105427
30,931,144.3945213,0.155096156
31,956.4,236.089531,0.246852291
32,1136.5,139.0789144,0.12237476
33,1075,101.6530045,0.094560934
34,1287.4,228.5496299,0.177528064
35,1289.4,158.931991,0.123260424
36,1308.6,219.1661977,0.167481429
37,1550.9,197.1217616,0.127101529
38,1634.9,201.3092977,0.123132484
39,1696.9,327.3881319,0.192933073
40,1694.3,275.6729342,0.162706094
41,1788.1,272.6574774,0.152484468
42,1987.5,270.7923559,0.136247726
43,2050.7,308.4045143,0.150389874
44,2143.3,309.0695894,0.144202673
45,2084.3,281.2693648,0.13494668
46,2385.5,306.2603286,0.128384124
47,2304.8,251.7767088,0.109240155
48,2541.2,262.3288013,0.103230285
49,2478.8,272.4509334,0.109912431
50,2614.8,213.6881424,0.081722557
51,2767.9,596.6591154,0.215563827
52,3111.5,428.1586544,0.137605224
53,3062.1,287.2151536,0.093796791
54,3013,328.3027058,0.108962066
55,3251.5,335.8737362,0.103298089
56,3116.3,319.6706812,0.102580201
57,3314.2,478.6280857,0.144417381
58,3714.7,554.0012134,0.149137538
59,3504.2,236.315138,0.067437686
60,3867.8,240.3122043,0.062131497
61,3850.3,534.6307241,0.138854303
62,4153.7,541.656523,0.130403381
63,4198.5,539.2639531,0.128442051
64,4032.9,567.1442008,0.140629374
65,4453.7,323.3886722,0.072611238
66,4358.4,623.5538291,0.143069436
67,4750.3,648.3656462,0.13648941
68,5076.5,585.2732031,0.115290693
69,5147.6,474.5829046,0.092194985
70,5345.8,764.6637315,0.143040093
71,5083.8,631.1025273,0.12413992
72,5326.1,793.2619646,0.148938616
73,5431.8,416.6196774,0.076700114
74,5723.8,626.939267,0.109532001
